A g3 t9 l-1 st0 out0 val0 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:1
A g3 t10 l-1 st0 out0 val0 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:1
A g3 t11 l-1 st0 out0 val0 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:1
A g3 t12 l-1 st0 out0 val0 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:1
A g3 t13 l-1 st0 out0 val0 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:1
A g3 t14 l-1 st0 out0 val0 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:1
A g3 t15 l-1 st0 out0 val0 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:1
A g3 t16 l-1 st0 out0 val1 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:2
A g3 t17 l-1 st0 out0 val1 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:2
A g3 t18 l-1 st0 out0 val1 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:2
A g3 t19 l-1 st0 out0 val1 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:2
A g3 t20 l-1 st0 out0 val1 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:2
A g3 t21 l-1 st0 out0 val1 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:2
A g3 t22 l-1 st0 out0 val1 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:2
A g3 t23 l-1 st0 out0 val1 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:2
A g3 t24 l-1 st0 out0 val1 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:3
A g3 t25 l-1 st0 out0 val1 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:3
A g3 t26 l-1 st0 out0 val1 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:3
A g3 t27 l-1 st0 out0 val1 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:3
A g3 t28 l-1 st0 out0 val1 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:3
A g3 t29 l-1 st0 out0 val1 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:3
A g3 t30 l-1 st0 out0 val1 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:3
A g3 t31 l-1 st0 out0 val1 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:3
A g4 t0 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:0
A g4 t1 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:0
A g4 t2 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:1
A g4 t3 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:1
A g4 t4 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:2
A g4 t5 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:2
A g4 t6 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:3
A g4 t7 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:3
A g4 t8 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:1
A g4 t9 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:1
